Business Name,Category,SIC Code,SIC description,NAICS Code,NAICS description,City,State,Zip Code,Est. Annual Revenue,Est. Company Size
Torres Nellie,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Brooklyn,NY,11222,$$,Medium
Q Tran Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Bridgeport,CT,06610,$$,Medium
Cinram Group Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Pleasanton,CA,94588,$$,Medium
Universal Power Systems,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Chantilly,VA,20151,$$,Medium
"Tandre Technologies, LLC",Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Alexandria,VA,22309,$$,Medium
Little Bruce International Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Hawthorne,CA,90250,$$,Medium
Power Distribution Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Santa Ana,CA,92704,$$,Medium
Power And Control Systems Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Cypress,CA,90630,$$,Medium
Voxx International,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Pasadena,CA,91104,$$,Medium
Corporate Distributions,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Encino,CA,91436,$$,Medium
"Power Generation Enterprises, LLC",Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",North Hollywood,CA,91601,$$,Medium
Beyond Limits,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",San Clemente,CA,92673,$$,Medium
American Zettler Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Aliso Viejo,CA,92656,$$,Medium
Tommo,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Hacienda Heights,CA,91745,$$,Medium
Hughes Autoformers,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Anaheim,CA,92807,$$,Medium
Distribution International,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",San Diego,CA,92102,$$,Medium
Murphy Distributors,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Branford,CT,06405,$$,Medium
Icecap Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Trenton,NJ,08691,$$,Medium
Helix Power,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Boxford,MA,01921,$$,Medium
"Continental Control Systems, LLC",Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Longmont,CO,80501,$$,Medium
On Power Systems Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",New Boston,NH,03070,$$,Medium
Huntingdon Leasing Corp,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Huntingdon Valley,PA,19006,$$,Medium
Valley Fabrication Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Salinas,CA,93901,$$,Medium
Specialty Products Division Ceram Co Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Levittown,PA,19056,$$,Medium
Ti Chen Assoc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Tacoma,WA,98406,$$,Medium
Neil Power,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Everett,WA,98203,$$,Medium
Strategic Global Sourcing Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Batavia,IL,60510,$$,Medium
Square D Co,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Schaumburg,IL,60173,$$,Medium
Altran Corp,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Crystal Lake,IL,60014,$$,Medium
Ds Cypress Magnetics,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Rancho Cucamonga,CA,91730,$$,Medium
Power Transmission Systems,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Miami,FL,33126,$$,Medium
